Palit GeForce GTX 1660 Ti StormX OC 6GB GDDR6,1 199.00 z³,1 199.00 z³,1 199.00 z³
Gigabyte GeForce GTX 1660 Ti WINDFORCE OC 6GB GDDR6,1 329.00 z³,1 329.00 z³,1 329.00 z³
Gigabyte GeForce RTX 2080 WINDFORCE 8GB GDDR6,3 199.00 z³,3 199.00 z³,3 199.00 z³
MSI Radeon RX 580 ARMOR OC 8GB GDDR5,939.00 z³,939.00 z³,939.00 z³
MSI GeForce GTX 1650 VENTUS XS OC 4GB GDDR5,735.00 z³,735.00 z³,735.00 z³
Gainward GeForce RTX 2060 Phoenix 6GB GDDR6,1 599.00 z³,1 599.00 z³,1 599.00 z³
ASUS GeForce RTX 2070 Dual Advance 8GB GDDR6,2 299.00 z³,2 299.00 z³,2 299.00 z³
MSI GeForce RTX 2080 Ti GAMING X TRIO 11GB GDDR6,5 449.00 z³,5 449.00 z³,5 449.00 z³
ASUS GeForce RTX 2060 Phoenix 6GB GDDR6,1 499.00 z³,1 499.00 z³,1 499.00 z³
Gigabyte Radeon RX 570 GAMING 4GB GDDR5,699.00 z³,699.00 z³,699.00 z³
ASUS GeForce GTX 1060 Turbo 6GB GDDR5,999.00 z³,999.00 z³,999.00 z³
Zotac GeForce GTX 1660 Ti Gaming 6GB GDDR6,1 269.00 z³,1 269.00 z³,1 269.00 z³
XFX Radeon RX 590 Fatboy OC+ 8GB GDDR5,1 139.00 z³,1 139.00 z³,1 139.00 z³
ASUS GeForce GT 1030 Phoenix OC 2GB GDDR5,359.00 z³,359.00 z³,359.00 z³
ASUS GeForce GTX 1660 Ti Phoenix OC 6GB GDDR6,1 199.00 z³,1 199.00 z³,1 199.00 z³
Gigabyte GeForce GTX 1660 Ti GAMING OC 6GB GDDR6,1 399.00 z³,1 399.00 z³,1 399.00 z³
Gigabyte GeForce RTX 2060 XTREME AORUS 6GB GDDR6,1 879.00 z³,1 879.00 z³,1 879.00 z³
Gigabyte GeForce RTX 2080 GAMING OC 8GB GDDR6,3 499.00 z³,3 499.00 z³,3 499.00 z³
MSI GeForce GTX 1050 Ti 4GT LP 4GB GDDR5,689.00 z³,689.00 z³,689.00 z³
Gigabyte GeForce GTX 1050 OC 2GB GDDR5,589.00 z³,589.00 z³,589.00 z³
MSI GeForce GT710 1GB DDR3,169.00 z³,169.00 z³,169.00 z³
Gigabyte GeForce GTX 1650 OC 4GB GDDR5,719.00 z³,719.00 z³,719.00 z³
Palit GeForce GTX 1660 StormX 6GB GDDR5,989.00 z³,989.00 z³,989.00 z³
MSI GeForce RTX 2070 GAMING X 8GB GDDR6,2 599.00 z³,2 599.00 z³,2 599.00 z³
ASUS  GeForce GT 1030 2GB GDDR5,359.00 z³,359.00 z³,359.00 z³
ASUS GeForce GT710 2048MB 64bit Silent,239.00 z³,239.00 z³,239.00 z³
Gainward GeForce GTX 1660 Ti Pegasus OC 6GB GDDR6,1 179.00 z³,1 179.00 z³,1 179.00 z³
Gainward GeForce GTX 1660 Ti Pegasus 6GB GDDR6,1 149.00 z³,1 149.00 z³,1 149.00 z³
Gigabyte GeForce RTX 2070 GAMING OC WHITE 8G GDDR6,2 459.00 z³,2 459.00 z³,2 459.00 z³
Gigabyte GeForce GT 1030 2GB GDDR5,359.00 z³,359.00 z³,359.00 z³
Gigabyte GeForce GT730 2048MB 64bit,289.00 z³,289.00 z³,289.00 z³
ASUS GeForce GTX 1660 Ti Dual OC 6GB GDDR6,1 329.00 z³,1 329.00 z³,1 329.00 z³
Sapphire Radeon RX 560 PULSE 4GB GDDR5,579.00 z³,579.00 z³,579.00 z³
Gigabyte GeForce RTX 2080 Gaming OC White 8GB GDDR6,3 459.00 z³,3 459.00 z³,3 459.00 z³
MSI GeForce RTX 2080 DUKE 8G OC 8GB GDDR6,3 629.00 z³,3 629.00 z³,3 629.00 z³
Gigabyte GeForce GT 1030 SILENT LP 2GB GDDR5,349.00 z³,349.00 z³,349.00 z³
Gigabyte GeForce GTX 1050 Ti OC LP 4GB GDDR5,699.00 z³,699.00 z³,699.00 z³
MSI GeForce GTX 1650 GAMING X 4GB GDDR5,799.00 z³,799.00 z³,799.00 z³
Palit GeForce GTX 1660 Ti StormX 6GB GDDR6,1 249.00 z³,1 249.00 z³,1 249.00 z³
Gigabyte GeForce RTX 2070 AORUS XTREME 8GB GDDR6,2 799.00 z³,2 799.00 z³,2 799.00 z³
Zotac GeForce RTX 2080 AMP 8GB GDDR6,3 299.00 z³,3 299.00 z³,3 299.00 z³
PNY Quadro P1000 4GB GDDR5,1 479.00 z³,1 479.00 z³,1 479.00 z³
